DLL Path: C:\Windows\System32\SystemEventsBrokerClient.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
SebCancelEvent                                                                                       0x89dd9ec7                                         
SebCreateApplicationTriggerEvent                                                                     0x51d9ecdd                                         
SebCreateAuthenticatorDeviceAuthEvent                                                                0xbf49d8d2                                         
SebCreateBackgroundDownloadEvent                                                                     0xe983ffad                                         
SebCreateBackgroundDownloadEventEx                                                                   0x5a82a84a                                         
SebCreateBackgroundTransferCompletionEvent                                                           0x2daa40f4                                         
SebCreateBroadcastNotificationEvent                                                                  0x7569000f                                         
SebCreateCachedFileUpdatedEvent                                                                      0x379a1b34                                         
SebCreateCalendarNotificationEvent                                                                   0x082a5076                                         
SebCreateCallBlockedNotificationEvent                                                                0xdbfc280c                                         
SebCreateCallOriginDataRequestedEvent                                                                0x7429dfc5                                         
SebCreateChatNotificationEvent                                                                       0x0535199c                                         
SebCreateCommunicationBlockingAppSetAsActiveEvent                                                    0x08297f51                                         
SebCreateContactNotificationEvent                                                                    0x898f9b08                                         
SebCreateContentPrefetchEvent                                                                        0xbe3c4c41                                         
SebCreateDeviceServicingEvent                                                                        0xf0ad320f                                         
SebCreateDeviceUseEvent                                                                              0xe2a50692                                         
SebCreateDisplayOnEvent                                                                              0x004d3188                                         
SebCreateEmailNotificationEvent                                                                      0x14dfb6e4                                         
SebCreateInfrastructureConditionEvent                                                                0x608060bd                                         
SebCreateKnownFoldersChangedEvent                                                                    0x32975ffb                                         
SebCreateLockScreenAppAddedEvent                                                                     0x158a0611                                         
SebCreateLockScreenAppRemovedEvent                                                                   0x26921191                                         
SebCreateMediaProcessingTriggerEvent                                                                 0x522a3c86                                         
SebCreateMessageInterceptNotificationEvent                                                           0x8166e12f                                         
SebCreateMobileBroadbandEvent                                                                        0x7e14c62a                                         
SebCreateNetOperatorHotSpotAuthEvent                                                                 0x8f5f8dab                                         
SebCreateOEMPreInstallEvent                                                                          0xfcf36574                                         
SebCreatePowerStateChangeEvent                                                                       0xed8f87e9                                         
SebCreateRcsEndUserMessageNotificationEvent                                                          0x4842f13f                                         
SebCreateSessionConnectedEvent                                                                       0xec4ee02c                                         
SebCreateTelephonyEvent                                                                              0xd626732d                                         
SebCreateUnconstrainedBackgroundDownloadEvent                                                        0xd9ac078a                                         
SebCreateUserPresentEvent                                                                            0x69fcdcf5                                         
SebDeleteEvent                                                                                       0x8144d334                                         
SebEnumerateEvents                                                                                   0x658c693a                                         
SebEnumerateEventsByType                                                                             0x14db1c97                                         
SebEnumerateEventsByTypeEx                                                                           0xb814a7b4                                         
SebGetStatusStateName                                                                                0x477f6665                                         
SebQueryEventData                                                                                    0xbbca68d1                                         
SebQueryEventPackage                                                                                 0x739261c3                                         
SebRegisterPrivateEvent                                                                              0x219fb501                                         
SebRegisterWellKnownEvent                                                                            0x17410107                                         
SebRegisterWellKnownFilteredEvent                                                                    0xb40bcf16                                         
SebSignalApplicationTriggerEvent                                                                     0x8a6608c7                                         
SebSignalBackgroundDownloadEvent                                                                     0x22101b97                                         
SebSignalBackgroundTransferCompletionEvent                                                           0x3311c95e                                         
SebSignalDeviceEvent                                                                                 0x9343056f                                         
SebSignalEvent                                                                                       0xc381977f                                         
SebSignalLevelEvent                                                                                  0xcd6a5c97                                         
SebSignalMediaProcessingTriggerEvent                                                                 0xe9d63d70                                         
SebSignalOEMPreInstallEvent                                                                          0x93b9e71e                                         
SebSignalSyncEvent                                                                                   0x0d1640dc                                         
SebSignalSyncEventEx                                                                                 0xaba9f139                                         
