DLL Path: C:\Windows\System32\esent.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DebugExtensionInitialize                                                                             0xd8d19f1b                                         
DebugExtensionNotify                                                                                 0x08fcb8a2                                         
DebugExtensionUninitialize                                                                           0x932e449e                                         
DllRegisterServer                                                                                    0x11369e1d                                         
JetAddColumn                                                                                         0x84c817df                                         
JetAddColumnA                                                                                        0x1dcb1400                                         
JetAddColumnW                                                                                        0x1dcb1416                                         
JetAttachDatabase                                                                                    0x54ed02f2                                         
JetAttachDatabase2                                                                                   0xf28d6164                                         
JetAttachDatabase2A                                                                                  0x44398e25                                         
JetAttachDatabase2W                                                                                  0x44398e3b                                         
JetAttachDatabase3                                                                                   0xf28d6165                                         
JetAttachDatabase3A                                                                                  0x44398e46                                         
JetAttachDatabase3W                                                                                  0x44398e5c                                         
JetAttachDatabaseA                                                                                   0xf28d6173                                         
JetAttachDatabaseW                                                                                   0xf28d6189                                         
JetAttachDatabaseWithStreaming                                                                       0xdcef64d8                                         
JetAttachDatabaseWithStreamingA                                                                      0x7adc0019                                         
JetAttachDatabaseWithStreamingW                                                                      0x7adc002f                                         
JetBackup                                                                                            0x56799bbe                                         
JetBackupA                                                                                           0x25ad13bf                                         
JetBackupInstance                                                                                    0x1337b573                                         
JetBackupInstanceA                                                                                   0x7a2e6414                                         
JetBackupInstanceW                                                                                   0x7a2e642a                                         
JetBackupW                                                                                           0x25ad13d5                                         
JetBeginDatabaseIncrementalReseed                                                                    0x6e44d64c                                         
JetBeginDatabaseIncrementalReseedA                                                                   0x36dfa00d                                         
JetBeginDatabaseIncrementalReseedW                                                                   0x36dfa023                                         
JetBeginExternalBackup                                                                               0x2a5efa66                                         
JetBeginExternalBackupInstance                                                                       0x1f453c1b                                         
JetBeginSession                                                                                      0x34345c31                                         
JetBeginSessionA                                                                                     0xbabfe292                                         
JetBeginSessionW                                                                                     0xbabfe2a8                                         
JetBeginSurrogateBackup                                                                              0x836f7a7f                                         
JetBeginTransaction                                                                                  0x7eee88b3                                         
JetBeginTransaction2                                                                                 0x5cbf9f45                                         
JetBeginTransaction3                                                                                 0x5cbf9f46                                         
JetCloseDatabase                                                                                     0x90fcc7f3                                         
JetCloseFile                                                                                         0x8dbddcbe                                         
JetCloseFileInstance                                                                                 0xe72cf673                                         
JetCloseTable                                                                                        0x46723f46                                         
JetCommitTransaction                                                                                 0x3be6b497                                         
JetCommitTransaction2                                                                                0xb8bd47a9                                         
JetCompact                                                                                           0x9406e5af                                         
JetCompactA                                                                                          0x14e39bd0                                         
JetCompactW                                                                                          0x14e39be6                                         
JetComputeStats                                                                                      0x42394dd4                                         
JetConfigureProcessForCrashDump                                                                      0xcd4db917                                         
JetConsumeLogData                                                                                    0x2137081e                                         
JetConvertDDL                                                                                        0xa0bd391d                                         
JetConvertDDLA                                                                                       0xb8645cfe                                         
JetConvertDDLW                                                                                       0xb8645d14                                         
JetCreateDatabase                                                                                    0x35ab3ab1                                         
JetCreateDatabase2                                                                                   0xeb129103                                         
JetCreateDatabase2A                                                                                  0x4d64b1a4                                         
JetCreateDatabase2W                                                                                  0x4d64b1ba                                         
JetCreateDatabase3                                                                                   0xeb129104                                         
JetCreateDatabase3A                                                                                  0x4d64b1c5                                         
JetCreateDatabase3W                                                                                  0x4d64b1db                                         
JetCreateDatabaseA                                                                                   0xeb129112                                         
JetCreateDatabaseW                                                                                   0xeb129128                                         
JetCreateDatabaseWithStreaming                                                                       0x83b9faf7                                         
JetCreateDatabaseWithStreamingA                                                                      0xfaf95a18                                         
JetCreateDatabaseWithStreamingW                                                                      0xfaf95a2e                                         
JetCreateEncryptionKey                                                                               0x4355b050                                         
JetCreateIndex                                                                                       0xac2195d4                                         
JetCreateIndex2                                                                                      0x30545086                                         
JetCreateIndex2A                                                                                     0x3ade6187                                         
JetCreateIndex2W                                                                                     0x3ade619d                                         
JetCreateIndex3A                                                                                     0x3ade61a8                                         
JetCreateIndex3W                                                                                     0x3ade61be                                         
JetCreateIndex4A                                                                                     0x3ade61c9                                         
JetCreateIndex4W                                                                                     0x3ade61df                                         
JetCreateIndexA                                                                                      0x30545095                                         
JetCreateIndexW                                                                                      0x305450ab                                         
JetCreateInstance                                                                                    0xbaabcab1                                         
JetCreateInstance2                                                                                   0x10252103                                         
JetCreateInstance2A                                                                                  0x14c941a4                                         
JetCreateInstance2W                                                                                  0x14c941ba                                         
JetCreateInstanceA                                                                                   0x10252112                                         
JetCreateInstanceW                                                                                   0x10252128                                         
JetCreateTable                                                                                       0xace17ac4                                         
JetCreateTableA                                                                                      0x4910d385                                         
JetCreateTableColumnIndex                                                                            0x460d658a                                         
JetCreateTableColumnIndex2                                                                           0x07ba16fc                                         
JetCreateTableColumnIndex2A                                                                          0xfefcf6bd                                         
JetCreateTableColumnIndex2W                                                                          0xfefcf6d3                                         
JetCreateTableColumnIndex3A                                                                          0xfefcf6de                                         
JetCreateTableColumnIndex3W                                                                          0xfefcf6f4                                         
JetCreateTableColumnIndex4A                                                                          0xfefcf6ff                                         
