DLL Path: C:\Windows\System32\jscript9.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
JsAddRef                                                                                             0xfa0d4128                                         
JsBoolToBoolean                                                                                      0x2e38cdd1                                         
JsBooleanToBool                                                                                      0xfad2f731                                         
JsCallFunction                                                                                       0xd5a53dc4                                         
JsCollectGarbage                                                                                     0x6a1bcaf1                                         
JsConstructObject                                                                                    0x60aa7e7e                                         
JsConvertValueToBoolean                                                                              0x2153fd03                                         
JsConvertValueToNumber                                                                               0x4435754c                                         
JsConvertValueToObject                                                                               0x453133ba                                         
JsConvertValueToString                                                                               0x4fd004ba                                         
JsCreateArray                                                                                        0x5b9e9335                                         
JsCreateContext                                                                                      0x5046f81b                                         
JsCreateError                                                                                        0x5be6f700                                         
JsCreateExternalObject                                                                               0x249b5570                                         
JsCreateExternalType                                                                                 0x5a8d067b                                         
JsCreateFunction                                                                                     0xea9d3fbc                                         
JsCreateObject                                                                                       0xeef3562d                                         
JsCreateRangeError                                                                                   0x2c13fc8d                                         
JsCreateReferenceError                                                                               0xf8f6796f                                         
JsCreateRuntime                                                                                      0xe0ef8aba                                         
JsCreateSyntaxError                                                                                  0xd4259127                                         
JsCreateTypeError                                                                                    0xe96c00a2                                         
JsCreateTypedExternalObject                                                                          0x03d9f3b6                                         
JsCreateURIError                                                                                     0xe3d3b9b0                                         
JsDefineProperty                                                                                     0xb87f8d72                                         
JsDeleteIndexedProperty                                                                              0xa717379b                                         
JsDeleteProperty                                                                                     0xe1004f7a                                         
JsDisableRuntimeExecution                                                                            0x6224d30e                                         
JsDisposeRuntime                                                                                     0x4abad8dd                                         
JsDoubleToNumber                                                                                     0x80574629                                         
JsEnableRuntimeExecution                                                                             0x22ff0c61                                         
JsEnumerateHeap                                                                                      0xedd0d126                                         
JsEquals                                                                                             0x0456b56d                                         
JsGetAndClearException                                                                               0xf48460eb                                         
JsGetCurrentContext                                                                                  0xaa3980ea                                         
JsGetDefaultTypeDescription                                                                          0xeb2e920d                                         
JsGetExtensionAllowed                                                                                0x356a0107                                         
JsGetExternalData                                                                                    0xb82145bf                                         
JsGetExternalType                                                                                    0xb82a7167                                         
JsGetFalseValue                                                                                      0x9b24538a                                         
JsGetGlobalObject                                                                                    0xf314d14a                                         
JsGetIndexedProperty                                                                                 0xb4d4d728                                         
JsGetNullValue                                                                                       0xce4ed83a                                         
JsGetOwnPropertyDescriptor                                                                           0xf218931a                                         
JsGetOwnPropertyNames                                                                                0x86bee24f                                         
JsGetProperty                                                                                        0xe01e03a7                                         
JsGetPropertyIdFromName                                                                              0xc7144809                                         
JsGetPropertyNameFromId                                                                              0x33ef62c9                                         
JsGetPrototype                                                                                       0xede93d58                                         
JsGetRuntime                                                                                         0x4a977226                                         
JsGetRuntimeMemoryLimit                                                                              0xe7cb39be                                         
JsGetRuntimeMemoryUsage                                                                              0xe8735eb4                                         
JsGetStringLength                                                                                    0x1c9751bb                                         
JsGetTrueValue                                                                                       0x68ec05ff                                         
JsGetUndefinedValue                                                                                  0x880813b1                                         
JsGetValueType                                                                                       0x1314b1a1                                         
JsHasException                                                                                       0xceeaf0ad                                         
JsHasExternalData                                                                                    0x1f08c37b                                         
JsHasIndexedProperty                                                                                 0x4b4e4b64                                         
JsHasProperty                                                                                        0xe0d40363                                         
JsIdle                                                                                               0xbcc784a0                                         
JsIntToNumber                                                                                        0x8cb38059                                         
JsIsEnumeratingHeap                                                                                  0x6e7c861b                                         
JsIsRuntimeExecutionDisabled                                                                         0x7810608e                                         
JsNumberToDouble                                                                                     0xdbc4d429                                         
JsParseScript                                                                                        0xb9538b52                                         
JsParseSerializedScript                                                                              0x44ce229e                                         
JsPointerToString                                                                                    0x4990853d                                         
JsPreventExtension                                                                                   0x118b3ac3                                         
JsRelease                                                                                            0x5b43b7e3                                         
JsRunScript                                                                                          0x6f49ed6c                                         
JsRunSerializedScript                                                                                0x6f116d38                                         
JsSerializeScript                                                                                    0xe54f357f                                         
JsSetCurrentContext                                                                                  0x8c7018f6                                         
JsSetException                                                                                       0x02dd59fd                                         
JsSetExternalData                                                                                    0x5f7a6acb                                         
JsSetIndexedProperty                                                                                 0xddde70b4                                         
JsSetProperty                                                                                        0x207682b3                                         
JsSetPrototype                                                                                       0x39519de4                                         
JsSetRuntimeBeforeCollectCallback                                                                    0xc99716b8                                         
JsSetRuntimeMemoryAllocationCallback                                                                 0xfe6af21e                                         
JsSetRuntimeMemoryLimit                                                                              0xb466f7ca                                         
JsStartDebugging                                                                                     0x46aa91bc                                         
JsStartProfiling                                                                                     0x81b6507a                                         
JsStopProfiling                                                                                      0xddd90152                                         
JsStrictEquals                                                                                       0x9d5bbb66                                         
JsStringToPointer                                                                                    0x4bbd8e7d                                         
JsValueToVariant                                                                                     0x3b098b97                                         
JsVarAddRef                                                                                          0xd60d2f71                                         
JsVarRelease                                                                                         0xb7416f4c                                         
JsVarToExtension                                                                                     0xe19ee3ab                                         
JsVarToScriptDirect                                                                                  0xb70d071e                                         
JsVariantToValue                                                                                     0x06dc7897                                         
