DLL Path: C:\Windows\System32\libomp140d.x86_64.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
KMP_ALIGNED_MALLOC                                                                                   0xebe76977                                         
KMP_CALLOC                                                                                           0x74b0489a                                         
KMP_CREATE_AFFINITY_MASK                                                                             0xc2d0f5e4                                         
KMP_DESTROY_AFFINITY_MASK                                                                            0x3aad205a                                         
KMP_FREE                                                                                             0x9bbc80ae                                         
KMP_GET_AFFINITY                                                                                     0x2b133cc5                                         
KMP_GET_AFFINITY_MASK_PROC                                                                           0xeaaf93e3                                         
KMP_GET_AFFINITY_MAX_PROC                                                                            0x9047233d                                         
KMP_GET_BLOCKTIME                                                                                    0x321f0145                                         
KMP_GET_CANCELLATION_STATUS                                                                          0x0a1a193b                                         
KMP_GET_LIBRARY                                                                                      0xbba3cc60                                         
KMP_GET_NUM_KNOWN_THREADS                                                                            0x1f58b211                                         
KMP_GET_STACKSIZE                                                                                    0x1ac14c1c                                         
KMP_GET_STACKSIZE_S                                                                                  0xd044cfae                                         
KMP_MALLOC                                                                                           0x8c03dee4                                         
KMP_REALLOC                                                                                          0x95f0752e                                         
KMP_SET_AFFINITY                                                                                     0x767b9d51                                         
KMP_SET_AFFINITY_MASK_PROC                                                                           0x4ac3136f                                         
KMP_SET_BLOCKTIME                                                                                    0xea937351                                         
KMP_SET_DEFAULTS                                                                                     0xedb9fe8f                                         
KMP_SET_DISP_NUM_BUFFERS                                                                             0xe3fab8a2                                         
KMP_SET_LIBRARY                                                                                      0xfbfc4b6c                                         
KMP_SET_LIBRARY_SERIAL                                                                               0x752742cb                                         
KMP_SET_LIBRARY_THROUGHPUT                                                                           0xc7248de5                                         
KMP_SET_LIBRARY_TURNAROUND                                                                           0x369fda1d                                         
KMP_SET_STACKSIZE                                                                                    0xd335be28                                         
KMP_SET_STACKSIZE_S                                                                                  0x779df4ba                                         
KMP_SET_WARNINGS_OFF                                                                                 0x30d331fa                                         
KMP_SET_WARNINGS_ON                                                                                  0x7d99cb3c                                         
KMP_UNSET_AFFINITY_MASK_PROC                                                                         0x56dd65f2                                         
OMP_CAPTURE_AFFINITY                                                                                 0xeef0e37d                                         
OMP_CONTROL_TOOL                                                                                     0x28dce92e                                         
OMP_DESTROY_ALLOCATOR                                                                                0xc974f65a                                         
OMP_DESTROY_LOCK                                                                                     0x56b4b342                                         
OMP_DESTROY_NEST_LOCK                                                                                0x667bf51b                                         
OMP_DISPLAY_AFFINITY                                                                                 0x46c3031f                                         
OMP_DISPLAY_ENV                                                                                      0x6b7bddee                                         
OMP_FULFILL_EVENT                                                                                    0x36ccc6df                                         
OMP_GET_ACTIVE_LEVEL                                                                                 0xe8632262                                         
OMP_GET_AFFINITY_FORMAT                                                                              0x2f0086f1                                         
OMP_GET_ANCESTOR_THREAD_NUM                                                                          0x393f2634                                         
OMP_GET_CANCELLATION                                                                                 0xa9cdde5c                                         
OMP_GET_DEFAULT_ALLOCATOR                                                                            0x8e9a2034                                         
OMP_GET_DEFAULT_DEVICE                                                                               0xbd9aa563                                         
OMP_GET_DEVICE_NUM                                                                                   0x37035eae                                         
OMP_GET_DYNAMIC                                                                                      0x07122cd4                                         
OMP_GET_INITIAL_DEVICE                                                                               0x95085768                                         
OMP_GET_INTEROP_INT                                                                                  0xd594793a                                         
OMP_GET_INTEROP_PTR                                                                                  0xd59497c5                                         
OMP_GET_INTEROP_STR                                                                                  0xd594a488                                         
OMP_GET_LEVEL                                                                                        0xf2e52827                                         
OMP_GET_MAX_ACTIVE_LEVELS                                                                            0x774263fa                                         
OMP_GET_MAX_TASK_PRIORITY                                                                            0xcc542f68                                         
OMP_GET_MAX_TEAMS                                                                                    0x4ec253ee                                         
OMP_GET_MAX_THREADS                                                                                  0x10d57b5f                                         
OMP_GET_NESTED                                                                                       0x54331852                                         
OMP_GET_NUM_DEVICES                                                                                  0x0f540261                                         
OMP_GET_NUM_PLACES                                                                                   0x1525ee36                                         
OMP_GET_NUM_PROCS                                                                                    0xe961c365                                         
OMP_GET_NUM_TEAMS                                                                                    0xe9a2ca38                                         
OMP_GET_NUM_THREADS                                                                                  0xe5acac29                                         
OMP_GET_PARTITION_NUM_PLACES                                                                         0x913e7d8f                                         
OMP_GET_PARTITION_PLACE_NUMS                                                                         0xea35884f                                         
OMP_GET_PLACE_NUM                                                                                    0xa63ef043                                         
OMP_GET_PLACE_NUM_PROCS                                                                              0x7ea0e2a9                                         
OMP_GET_PLACE_PROC_IDS                                                                               0xaa8f9846                                         
OMP_GET_PROC_BIND                                                                                    0x673fbfff                                         
OMP_GET_SCHEDULE                                                                                     0x15f6bb3c                                         
OMP_GET_SUPPORTED_ACTIVE_LEVELS                                                                      0xa14b80fa                                         
OMP_GET_TEAMS_THREAD_LIMIT                                                                           0x0191e0be                                         
OMP_GET_TEAM_NUM                                                                                     0x8c7862e5                                         
OMP_GET_TEAM_SIZE                                                                                    0x1b874c50                                         
OMP_GET_THREAD_LIMIT                                                                                 0x9cdd0d25                                         
OMP_GET_THREAD_NUM                                                                                   0xeb751376                                         
OMP_GET_WTICK                                                                                        0xf3b437d1                                         
OMP_GET_WTIME                                                                                        0xf3b43915                                         
OMP_INIT_ALLOCATOR                                                                                   0x05bba664                                         
OMP_INIT_LOCK                                                                                        0xc320b50c                                         
OMP_INIT_LOCK_WITH_HINT                                                                              0x5d8a9b79                                         
OMP_INIT_NEST_LOCK                                                                                   0xa2c2a525                                         
OMP_INIT_NEST_LOCK_WITH_HINT                                                                         0xea663ed2                                         
OMP_IN_FINAL                                                                                         0xc3d4bdd0                                         
OMP_IN_PARALLEL                                                                                      0x67800593                                         
OMP_IS_INITIAL_DEVICE                                                                                0xb4660c64                                         
OMP_PAUSE_RESOURCE                                                                                   0x1923f455                                         
OMP_PAUSE_RESOURCE_ALL                                                                               0x38354d6d                                         
OMP_SET_AFFINITY_FORMAT                                                                              0x793d51fd                                         
OMP_SET_DEFAULT_ALLOCATOR                                                                            0x5b35de40                                         
OMP_SET_DEFAULT_DEVICE                                                                               0xe6a43eef                                         
OMP_SET_DYNAMIC                                                                                      0x476aabe0                                         
OMP_SET_LOCK                                                                                         0x31b83b24                                         
OMP_SET_MAX_ACTIVE_LEVELS                                                                            0x43de2206                                         
OMP_SET_NESTED                                                                                       0x84b1e5de                                         
OMP_SET_NEST_LOCK                                                                                    0x92f9ba3d                                         
OMP_SET_NUM_TEAMS                                                                                    0xa2173c44                                         
OMP_SET_NUM_THREADS                                                                                  0x8d05d135                                         
OMP_SET_SCHEDULE                                                                                     0x615f1bc8                                         
OMP_SET_TEAMS_THREAD_LIMIT                                                                           0x61a5604a                                         
OMP_TEST_LOCK                                                                                        0x77ef73b8                                         
OMP_TEST_NEST_LOCK                                                                                   0x4daf6f51                                         
OMP_UNSET_LOCK                                                                                       0xf74c8567                                         
OMP_UNSET_NEST_LOCK                                                                                  0x2f15e660                                         
_You_must_link_with_Intel_OpenMP_library                                                             0x3feaa7ee                                         
_You_must_link_with_exactly_one_OpenMP_library                                                       0x7f6cca4d                                         
__kmp_acquire_drdpa_lock                                                                             0x9d565c06                                         
__kmp_acquire_nested_drdpa_lock                                                                      0x82e69a68                                         
__kmp_acquire_nested_queuing_lock                                                                    0x05d368fb                                         
__kmp_acquire_nested_tas_lock                                                                        0x30dd47e5                                         
__kmp_acquire_nested_ticket_lock                                                                     0x63591ee1                                         
__kmp_acquire_queuing_lock                                                                           0x7b3a0a19                                         
__kmp_acquire_tas_lock                                                                               0x02940a03                                         
__kmp_acquire_ticket_lock                                                                            0xcbc1143f                                         
__kmp_fork_call                                                                                      0x2c659c37                                         
__kmp_get_reduce_method                                                                              0xe3d70781                                         
__kmp_invoke_microtask                                                                               0x09070202                                         
__kmp_launch_worker                                                                                  0x9c3da3be                                         
__kmp_printf                                                                                         0x44f649dd                                         
__kmp_reap_worker                                                                                    0x04d9d82b                                         
__kmp_release_64                                                                                     0x0b20e994                                         
__kmp_wait_4                                                                                         0x5416dc52                                         
