DLL Path: C:\Windows\System32\msvcirt.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0Iostream_init@@QEAA@AEAVios@@H@Z                                                                  0x82ae5e6c                                         
??0Iostream_init@@QEAA@XZ                                                                            0xab304c14                                         
??0exception@@QEAA@AEBQEBD@Z                                                                         0xce685f38                                         
??0exception@@QEAA@AEBV0@@Z                                                                          0x2597e8c2                                         
??0exception@@QEAA@XZ                                                                                0x5806a3ec                                         
??0filebuf@@QEAA@AEBV0@@Z                                                                            0xd7f92f70                                         
??0filebuf@@QEAA@H@Z                                                                                 0xf75bbc4a                                         
??0filebuf@@QEAA@HPEADH@Z                                                                            0xa2152ecc                                         
??0filebuf@@QEAA@XZ                                                                                  0x7bdc001a                                         
??0fstream@@QEAA@AEBV0@@Z                                                                            0x057c6445                                         
??0fstream@@QEAA@H@Z                                                                                 0x4e9057ff                                         
??0fstream@@QEAA@HPEADH@Z                                                                            0xcf9863a1                                         
??0fstream@@QEAA@PEBDHH@Z                                                                            0xdc1f6f82                                         
??0fstream@@QEAA@XZ                                                                                  0x0261792f                                         
??0ifstream@@QEAA@AEBV0@@Z                                                                           0x9f2f6fce                                         
??0ifstream@@QEAA@H@Z                                                                                0xa092c9e8                                         
??0ifstream@@QEAA@HPEADH@Z                                                                           0x694b6f2a                                         
??0ifstream@@QEAA@PEBDHH@Z                                                                           0x75d27b0b                                         
??0ifstream@@QEAA@XZ                                                                                 0x7178d1f8                                         
??0ios@@IEAA@AEBV0@@Z                                                                                0x5bf14d96                                         
??0ios@@IEAA@XZ                                                                                      0xbeb9f9c0                                         
??0ios@@QEAA@PEAVstreambuf@@@Z                                                                       0xaee57065                                         
??0iostream@@IEAA@AEBV0@@Z                                                                           0x2c45c36f                                         
??0iostream@@IEAA@XZ                                                                                 0x778540d9                                         
??0iostream@@QEAA@PEAVstreambuf@@@Z                                                                  0x5f028a5e                                         
??0istream@@IEAA@AEBV0@@Z                                                                            0xe288f820                                         
??0istream@@IEAA@XZ                                                                                  0xbf2f04ca                                         
??0istream@@QEAA@PEAVstreambuf@@@Z                                                                   0xc16e962f                                         
??0istream_withassign@@QEAA@AEBV0@@Z                                                                 0xea3b9548                                         
??0istream_withassign@@QEAA@PEAVstreambuf@@@Z                                                        0x18a62b4f                                         
??0istream_withassign@@QEAA@XZ                                                                       0x471ce3f2                                         
??0istrstream@@QEAA@AEBV0@@Z                                                                         0x5167f4e1                                         
??0istrstream@@QEAA@PEAD@Z                                                                           0xe31eb92d                                         
??0istrstream@@QEAA@PEADH@Z                                                                          0x46f5fdd5                                         
??0logic_error@@QEAA@$$QEAV0@@Z                                                                      0xd6afdd01                                         
??0logic_error@@QEAA@AEBQEBD@Z                                                                       0x4e6ab9c0                                         
??0logic_error@@QEAA@AEBV0@@Z                                                                        0x19f5124a                                         
??0ofstream@@QEAA@AEBV0@@Z                                                                           0x50712854                                         
