DLL Path: C:\Windows\System32\samsrv.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
RtlDeleteElementGenericTable2                                                                        0xac6c386b                                         
RtlInitializeGenericTable2                                                                           0x41f1c480                                         
RtlInsertElementGenericTable2                                                                        0x27c0fb8d                                         
RtlLookupElementGenericTable2                                                                        0xeaae3ad2                                         
SAM_MIDL_user_allocate                                                                               0x35b9c04d                                         
SAM_MIDL_user_free                                                                                   0x772fb94a                                         
SamDsExtAlloc                                                                                        0xbaa6d879                                         
SamDsExtFree                                                                                         0x6a8403d0                                         
SamIAccountRestrictions                                                                              0xff477545                                         
SamIAddDSNameToAlias                                                                                 0x568524fd                                         
SamIChangePasswordForeignUser                                                                        0x705fbab1                                         
SamIClaimIsValid                                                                                     0x6d5257c1                                         
SamIConnect                                                                                          0xd8aa7359                                         
SamIConvertSecurityAttributesToClaimsBlob                                                            0x852fe1ea                                         
SamICopyCurrentDomainAccountSettings                                                                 0xf111ebe3                                         
SamICreateKrbTgt                                                                                     0x7f9d4611                                         
SamIDecodeClaimsBlob                                                                                 0x242d93ab                                         
SamIDecodeClaimsBlobIntoClaimsSet                                                                    0x6398d42a                                         
SamIDecodeClaimsBlobToAuthz                                                                          0xf6a64eda                                         
SamIDemote                                                                                           0xd9a4d7ad                                         
SamIDemoteUndo                                                                                       0x4aa363a3                                         
SamIDoFSMORoleChange                                                                                 0x6ec7aa6f                                         
SamIFreeAuthzSecurityAttributesInfo                                                                  0x6122fbc8                                         
SamIFreeClaimsBlob                                                                                   0xc13d61a9                                         
SamIFreeDecodedClaimsSet                                                                             0x4e2be53e                                         
SamIFreeLookupNamesInfo                                                                              0xe973a44b                                         
SamIFreeLookupSidsInfo                                                                               0x2e6424aa                                         
SamIFreeOidList                                                                                      0xea0383e9                                         
SamIFreeRealmList                                                                                    0x894b5f3e                                         
SamIFreeSecurityAttributesInfo                                                                       0xea00d3bc                                         
