DLL Path: C:\Windows\System32\ufat.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CLUSTER_CHAIN@@QEAA@XZ                                                                            0xb09211e1                                         
??0EA_HEADER@@QEAA@XZ                                                                                0x2f441d2b                                         
??0EA_SET@@QEAA@XZ                                                                                   0x3a4e8eae                                         
??0FAT_DIRENT@@QEAA@XZ                                                                               0x5009bedd                                         
??0FAT_SA@@QEAA@XZ                                                                                   0xbe32188b                                         
??0FILEDIR@@QEAA@XZ                                                                                  0x3f19b87c                                         
??0REAL_FAT_SA@@QEAA@XZ                                                                              0xdf4b102e                                         
??0ROOTDIR@@QEAA@XZ                                                                                  0xfd964d00                                         
??1CLUSTER_CHAIN@@UEAA@XZ                                                                            0xacb0a3a6                                         
??1EA_HEADER@@UEAA@XZ                                                                                0x14077670                                         
??1EA_SET@@UEAA@XZ                                                                                   0x7a6ca793                                         
??1FAT_DIRENT@@UEAA@XZ                                                                               0x5019e042                                         
??1FAT_SA@@UEAA@XZ                                                                                   0xfe503170                                         
??1FILEDIR@@UEAA@XZ                                                                                  0x05dc8d81                                         
??1REAL_FAT_SA@@UEAA@XZ                                                                              0x6440fdb3                                         
??1ROOTDIR@@UEAA@XZ                                                                                  0xc4592205                                         
?AllocChain@FAT@@QEAAKKPEAK@Z                                                                        0x26c3f4f6                                         
?FreeChain@FAT@@QEAAXK@Z                                                                             0x5f9836d9                                         
?GetEa@EA_SET@@QEAAPEAU_EA@@KPEAJPEAE@Z                                                              0xfc1ccc83                                         
?Index12@FAT@@AEBAKK@Z                                                                               0xa230f1f3                                         
?InitFATChkDirty@REAL_FAT_SA@@QEAAEPEAVLOG_IO_DP_DRIVE@@PEAVMESSAGE@@@Z                              0x6f1fadff                                         
?Initialize@CLUSTER_CHAIN@@QEAAEPEAVMEM@@PEAVLOG_IO_DP_DRIVE@@PEAVFAT_SA@@PEBVFAT@@KK@Z              0x140f8325                                         
?Initialize@EA_HEADER@@QEAAEPEAVMEM@@PEAVLOG_IO_DP_DRIVE@@PEAVFAT_SA@@PEBVFAT@@KK@Z                  0xf3b71f2f                                         
?Initialize@EA_SET@@QEAAEPEAVMEM@@PEAVLOG_IO_DP_DRIVE@@PEAVFAT_SA@@PEBVFAT@@KK@Z                     0x0e3bc372                                         
?Initialize@FAT_DIRENT@@QEAAEPEAX@Z                                                                  0x3e8f5b9b                                         
?Initialize@FAT_DIRENT@@QEAAEPEAXE@Z                                                                 0x107ae140                                         
?Initialize@FILEDIR@@QEAAEPEAVMEM@@PEAVLOG_IO_DP_DRIVE@@PEAVFAT_SA@@PEBVFAT@@K@Z                     0x608113f5                                         
?Initialize@REAL_FAT_SA@@UEAAEPEAVLOG_IO_DP_DRIVE@@PEAVMESSAGE@@E@Z                                  0x6995f2c9                                         
?Initialize@ROOTDIR@@QEAAEPEAVMEM@@PEAVLOG_IO_DP_DRIVE@@KJ@Z                                         0x48eb98e1                                         
?IsValidCreationTime@FAT_DIRENT@@QEBAEXZ                                                             0x3135aec4                                         
?IsValidLastAccessTime@FAT_DIRENT@@QEBAEXZ                                                           0xd64fa015                                         
?IsValidLastWriteTime@FAT_DIRENT@@QEBAEXZ                                                            0x938ca26e                                         
?QueryAllocatedClusters@FAT@@QEBAKXZ                                                                 0x8dfbc5c9                                         
?QueryCensusAndRelocate@FAT_SA@@QEAAEPEAU_CENSUS_REPORT@@PEAVINTSTACK@@PEAE@Z                        0xea4354d0                                         
?QueryCreationTime@FAT_DIRENT@@QEBAEPEAT_LARGE_INTEGER@@@Z                                           0xb2513f17                                         
?QueryEaSetClusterNumber@EA_HEADER@@QEBAGG@Z                                                         0x53509126                                         
?QueryFileStartingCluster@FAT_SA@@QEAAKPEBVWSTRING@@PEAVHMEM@@PEAPEAVFATDIR@@PEAEPEAVFAT_DIRENT@@@Z  0xf9ec10c4                                         
?QueryFreeSectors@REAL_FAT_SA@@QEBAKXZ                                                               0x0d373666                                         
?QueryLastAccessTime@FAT_DIRENT@@QEBAEPEAT_LARGE_INTEGER@@@Z                                         0x7206e568                                         
?QueryLastWriteTime@FAT_DIRENT@@QEBAEPEAT_LARGE_INTEGER@@@Z                                          0x96dab101                                         
?QueryLengthOfChain@FAT@@QEBAKKPEAK@Z                                                                0x486f20f9                                         
?QueryLongName@FATDIR@@QEAAEJPEAVWSTRING@@@Z                                                         0xfbc56b40                                         
?QueryName@FAT_DIRENT@@QEBAEPEAVWSTRING@@@Z                                                          0x7567ea2d                                         
?QueryNthCluster@FAT@@QEBAKKK@Z                                                                      0x6700ecb5                                         
?Read@CLUSTER_CHAIN@@UEAAEXZ                                                                         0xd92a2c77                                         
?Read@EA_SET@@UEAAEXZ                                                                                0x27b655e4                                         
?Read@REAL_FAT_SA@@UEAAEPEAVMESSAGE@@@Z                                                              0xc104325d                                         
?SearchForDirEntry@FATDIR@@QEAAPEAXPEBVWSTRING@@@Z                                                   0x52210ac7                                         
?Set12@FAT@@AEAAXKK@Z                                                                                0xa9c54c9e                                         
?Write@CLUSTER_CHAIN@@UEAAEXZ                                                                        0xa4b43786                                         
Chkdsk                                                                                               0xabbf007d                                         
ChkdskEx                                                                                             0x97811d1a                                         
Format                                                                                               0xb341208e                                         
FormatEx                                                                                             0x880b856b                                         
GetFilesystemInformation                                                                             0x23f50610                                         
GetFsFormatOptions                                                                                   0x2b670093                                         
Recover                                                                                              0x9ebe761b                                         
