DLL Path: C:\Windows\System32\wsock32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AcceptEx                                                                                             0x2b819832                                         
EnumProtocolsA                                                                                       0xc60fc3a0                                         
EnumProtocolsW                                                                                       0xc60fc3b6                                         
GetAcceptExSockaddrs                                                                                 0x2cd3f7f0                                         
GetAddressByNameA                                                                                    0x93e94da8                                         
GetAddressByNameW                                                                                    0x93e94dbe                                         
GetNameByTypeA                                                                                       0xec288284                                         
GetNameByTypeW                                                                                       0xec28829a                                         
GetServiceA                                                                                          0x533f29d7                                         
GetServiceW                                                                                          0x533f29ed                                         
GetTypeByNameA                                                                                       0xca4de744                                         
GetTypeByNameW                                                                                       0xca4de75a                                         
MigrateWinsockConfiguration                                                                          0x1a11a144                                         
NPLoadNameSpaces                                                                                     0x40e12d23                                         
SetServiceA                                                                                          0x9397a8e3                                         
SetServiceW                                                                                          0x9397a8f9                                         
TransmitFile                                                                                         0x46a71e77                                         
WEP                                                                                                  0x0b882e31                                         
WSAAsyncGetHostByAddr                                                                                0x522054e2                                         
WSAAsyncGetHostByName                                                                                0x52276a28                                         
WSAAsyncGetProtoByName                                                                               0x06d8bcbe                                         
WSAAsyncGetProtoByNumber                                                                             0x2164cf06                                         
WSAAsyncGetServByName                                                                                0x9f71e12a                                         
WSAAsyncGetServByPort                                                                                0x9f73362e                                         
WSAAsyncSelect                                                                                       0x26fabcee                                         
WSACancelAsyncRequest                                                                                0x7da7a39d                                         
WSACancelBlockingCall                                                                                0x40079dfb                                         
WSACleanup                                                                                           0x7f1aab78                                         
WSAGetLastError                                                                                      0x3b3fbe4e                                         
WSAIsBlocking                                                                                        0x095616b5                                         
WSARecvEx                                                                                            0x73eb5b3d                                         
WSASetBlockingHook                                                                                   0x4e9e3616                                         
WSASetLastError                                                                                      0x86a81eda                                         
WSAStartup                                                                                           0x6128c683                                         
WSAUnhookBlockingHook                                                                                0xd1e6f0be                                         
WSApSetPostRoutine                                                                                   0xa50b1038                                         
__WSAFDIsSet                                                                                         0xd17593c0                                         
accept                                                                                               0xf15ae9b5                                         
bind                                                                                                 0x7c9499e2                                         
closesocket                                                                                          0x494cb104                                         
connect                                                                                              0xd3764dcf                                         
dn_expand                                                                                            0x7c324cf6                                         
gethostbyaddr                                                                                        0x30d24839                                         
gethostbyname                                                                                        0x30d95d7f                                         
gethostname                                                                                          0x64365624                                         
getnetbyname                                                                                         0x8f24ce28                                         
getpeername                                                                                          0xa3b233d2                                         
getprotobyname                                                                                       0x64f512f5                                         
getprotobynumber                                                                                     0x77ef8efd                                         
getservbyname                                                                                        0x7e23d481                                         
getservbyport                                                                                        0x7e252985                                         
getsockname                                                                                          0x65151536                                         
getsockopt                                                                                           0x776d44e8                                         
htonl                                                                                                0x0f9a774a                                         
htons                                                                                                0x0f9a7751                                         
inet_addr                                                                                            0xb1aebd2f                                         
inet_network                                                                                         0xcedbce7e                                         
inet_ntoa                                                                                            0xb1b62386                                         
ioctlsocket                                                                                          0x06dcd609                                         
listen                                                                                               0x0b794014                                         
ntohl                                                                                                0x1007098a                                         
ntohs                                                                                                0x10070991                                         
rcmd                                                                                                 0x7c9d464b                                         
recv                                                                                                 0x7c9d4d95                                         
recvfrom                                                                                             0xff3df269                                         
rexec                                                                                                0x104757bc                                         
rresvport                                                                                            0x7a697efc                                         
s_perror                                                                                             0x3ac85ef1                                         
select                                                                                               0x1b80e3c5                                         
send                                                                                                 0x7c9ddb4f                                         
sendto                                                                                               0x1b81fa72                                         
sethostname                                                                                          0xa48ed530                                         
setsockopt                                                                                           0xa7ec1274                                         
shutdown                                                                                             0xfc460361                                         
socket                                                                                               0x1c31032e                                         
