DLL Path: C:\Windows\System32\ze_loader.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
zeCommandListAppendBarrier                                                                           0xbb41fcbe                                         
zeCommandListAppendEventReset                                                                        0x8998a51c                                         
zeCommandListAppendImageCopy                                                                         0x9f8f6955                                         
zeCommandListAppendImageCopyFromMemory                                                               0xd8d294c2                                         
zeCommandListAppendImageCopyFromMemoryExt                                                            0x5125aaf3                                         
zeCommandListAppendImageCopyRegion                                                                   0xc7754bf9                                         
zeCommandListAppendImageCopyToMemory                                                                 0x1752afd1                                         
zeCommandListAppendImageCopyToMemoryExt                                                              0x0e7c1fa2                                         
zeCommandListAppendLaunchCooperativeKernel                                                           0x188f0c34                                         
zeCommandListAppendLaunchKernel                                                                      0xa891d093                                         
zeCommandListAppendLaunchKernelIndirect                                                              0x0c12ac85                                         
zeCommandListAppendLaunchMultipleKernelsIndirect                                                     0x2de7aba4                                         
zeCommandListAppendMemAdvise                                                                         0x52931d12                                         
zeCommandListAppendMemoryCopy                                                                        0x9ab746cb                                         
zeCommandListAppendMemoryCopyFromContext                                                             0x0557cae4                                         
zeCommandListAppendMemoryCopyRegion                                                                  0xc5a6e9ef                                         
zeCommandListAppendMemoryFill                                                                        0x9ab8d1d7                                         
zeCommandListAppendMemoryPrefetch                                                                    0xeac30661                                         
zeCommandListAppendMemoryRangesBarrier                                                               0x30346d97                                         
zeCommandListAppendQueryKernelTimestamps                                                             0xebe04d95                                         
zeCommandListAppendSignalEvent                                                                       0x4000e837                                         
zeCommandListAppendWaitOnEvents                                                                      0x995904fe                                         
zeCommandListAppendWriteGlobalTimestamp                                                              0x3b86f5a7                                         
zeCommandListClose                                                                                   0x5af2e755                                         
zeCommandListCreate                                                                                  0xb9b69ef3                                         
zeCommandListCreateCloneExp                                                                          0xc94bf731                                         
zeCommandListCreateImmediate                                                                         0xeb05b542                                         
zeCommandListDestroy                                                                                 0x20396569                                         
zeCommandListGetContextHandle                                                                        0x8a9867f0                                         
zeCommandListGetDeviceHandle                                                                         0xae764d3b                                         
zeCommandListGetNextCommandIdExp                                                                     0xd93c1fd7                                         
zeCommandListGetNextCommandIdWithKernelsExp                                                          0x865b6647                                         
zeCommandListGetOrdinal                                                                              0x709da668                                         
zeCommandListHostSynchronize                                                                         0xbc706c99                                         
zeCommandListImmediateAppendCommandListsExp                                                          0xb4ae43e1                                         
zeCommandListImmediateGetIndex                                                                       0x7ac0b886                                         
zeCommandListIsImmediate                                                                             0x678486ca                                         
zeCommandListReset                                                                                   0x5bfe8f82                                         
zeCommandListUpdateMutableCommandKernelsExp                                                          0xe0b46ccc                                         
zeCommandListUpdateMutableCommandSignalEventExp                                                      0xd4309b18                                         
zeCommandListUpdateMutableCommandWaitEventsExp                                                       0x0133a5c2                                         
zeCommandListUpdateMutableCommandsExp                                                                0x859ea96b                                         
zeCommandQueueCreate                                                                                 0x15d3399c                                         
zeCommandQueueDestroy                                                                                0xffe95532                                         
zeCommandQueueExecuteCommandLists                                                                    0x138ed009                                         
zeCommandQueueGetIndex                                                                               0xc12222a0                                         
zeCommandQueueGetOrdinal                                                                             0x69696d91                                         
zeCommandQueueSynchronize                                                                            0x014b8164                                         
zeContextCreate                                                                                      0x25745bbd                                         
zeContextCreateEx                                                                                    0x53fa485a                                         
zeContextDestroy                                                                                     0x03aebb73                                         
zeContextEvictImage                                                                                  0x5ecb6707                                         
zeContextEvictMemory                                                                                 0x4102df1d                                         
zeContextGetStatus                                                                                   0x07dd352d                                         
zeContextMakeImageResident                                                                           0x184e3608                                         
zeContextMakeMemoryResident                                                                          0x5705707e                                         
zeContextSystemBarrier                                                                               0x04884955                                         
zeDeviceCanAccessPeer                                                                                0x2e8a5024                                         
zeDeviceGet                                                                                          0xb0482e94                                         
zeDeviceGetCacheProperties                                                                           0x88b0ea55                                         
zeDeviceGetCommandQueueGroupProperties                                                               0x0cd211b2                                         
zeDeviceGetComputeProperties                                                                         0x5aba3fde                                         
zeDeviceGetExternalMemoryProperties                                                                  0x4aaba69d                                         
zeDeviceGetFabricVertexExp                                                                           0x32bef4a6                                         
zeDeviceGetGlobalTimestamps                                                                          0x9a371d0c                                         
zeDeviceGetImageProperties                                                                           0x53aec004                                         
zeDeviceGetMemoryAccessProperties                                                                    0xcd0a370c                                         
zeDeviceGetMemoryProperties                                                                          0x126b599a                                         
zeDeviceGetModuleProperties                                                                          0xa93b7c27                                         
zeDeviceGetP2PProperties                                                                             0xef9f0073                                         
zeDeviceGetProperties                                                                                0xa1195f61                                         
zeDeviceGetRootDevice                                                                                0x31bdbec8                                         
zeDeviceGetStatus                                                                                    0x07e441f8                                         
zeDeviceGetSubDevices                                                                                0xd0966581                                         
zeDevicePciGetPropertiesExt                                                                          0x3a08862e                                         
zeDeviceReserveCacheExt                                                                              0x7b726195                                         
zeDeviceSetCacheAdviceExt                                                                            0x4913ff51                                         
zeDriverGet                                                                                          0xe5694a50                                         
zeDriverGetApiVersion                                                                                0xaa203f30                                         
zeDriverGetExtensionFunctionAddress                                                                  0x67214099                                         
zeDriverGetExtensionProperties                                                                       0x9be7aa7a                                         
zeDriverGetIpcProperties                                                                             0x90d71c79                                         
zeDriverGetLastErrorDescription                                                                      0xe96f9df2                                         
zeDriverGetProperties                                                                                0x2aad561d                                         
zeDriverRTASFormatCompatibilityCheckExp                                                              0x725bcab8                                         
zeEventCreate                                                                                        0x5e7ca2fa                                         
zeEventDestroy                                                                                       0x5dbfea50                                         
zeEventGetEventPool                                                                                  0x30e3db22                                         
zeEventGetSignalScope                                                                                0x818560be                                         
zeEventGetWaitScope                                                                                  0x3fda8035                                         
zeEventHostReset                                                                                     0xd79f3b27                                         
zeEventHostSignal                                                                                    0xce1dba62                                         
zeEventHostSynchronize                                                                               0x6684e880                                         
zeEventPoolCloseIpcHandle                                                                            0x12c6319e                                         
